YEAR,MONTH,R.USDX
2004,10,98.533
2004,11,96.338
2004,12,95.188
2005,1,95.556
2005,2,95.822
2005,3,95.429
2005,4,96.36
2005,5,96.616
2005,6,97.485
2005,7,98.142
2005,8,97.318
2005,9,98.202
2005,10,99.08
2005,11,99.219
2005,12,98.412
2006,1,97.266
2006,2,97.47
2006,3,97.656
2006,4,97.165
2006,5,95.244
2006,6,96.49
2006,7,96.654
2006,8,96.224
2006,9,95.902
2006,10,95.625
2006,11,94.642
2006,12,94.026
2007,1,94.952
2007,2,94.796
2007,3,94.538
2007,4,93.412
2007,5,92.749
2007,6,92.484
2007,7,91.116
2007,8,91.328
2007,9,90.245
2007,10,88.296
2007,11,87.255
2007,12,87.886
2008,1,87.215
2008,2,86.154
2008,3,84.467
2008,4,84.022
2008,5,84.382
2008,6,84.868
2008,7,84.478
2008,8,86.557
2008,9,88.673
2008,10,93.737
2008,11,94.568
2008,12,93.066
2009,1,93.852
2009,2,96.477
2009,3,96.671
2009,4,94.276
2009,5,91.539
2009,6,90.923
2009,7,90.52
2009,8,89.47
2009,9,88.833
2009,10,87.668
2009,11,87.223
2009,12,87.443
2010,1,87.465
2010,2,88.449
2010,3,87.556
2010,4,86.945
2010,5,89.137
2010,6,89.49
2010,7,88.037
2010,8,87.287
2010,9,86.342
2010,10,83.957
2010,11,84
2010,12,84.623
2011,1,83.596
2011,2,83.007
2011,3,82.306
2011,4,81.015
2011,5,81.036
2011,6,80.829
2011,7,80.264
2011,8,80.821
2011,9,83.207
2011,10,83.756
2011,11,84.272
2011,12,84.95
2012,1,84.293
2012,2,83.026
2012,3,83.377
2012,4,83.581
2012,5,84.801
2012,6,85.902
2012,7,85.388
2012,8,84.854
2012,9,83.706
2012,10,83.495
2012,11,83.775
2012,12,83.067
2013,1,82.934
2013,2,83.824
2013,3,84.215
2013,4,83.612
2013,5,83.916
2013,6,84.528
2013,7,84.994
2013,8,84.886
2013,9,84.572
2013,10,83.605
2013,11,84.258
2013,12,84.425
2014,1,85.247
2014,2,85.417
2014,3,85.278
2014,4,84.862
2014,5,84.514
2014,6,84.548
2014,7,84.356
2014,8,84.942
2014,9,86.168
2014,10,87.14
2014,11,88.4
2014,12,90.127
2015,1,91.703
2015,2,92.847
2015,3,94.455
2015,4,93.483
2015,5,92.807
2015,6,93.525
2015,7,95.147
2015,8,96.715
2015,9,97.334
2015,10,96.41
2015,11,97.864
2015,12,98.579
2016,1,100.897
2016,2,99.574
2016,3,97.498
2016,4,96.129
2016,5,97.13
2016,6,97.472
2016,7,98.033
2016,8,97.236
2016,9,98.054
2016,10,98.962
2016,11,101.269
2016,12,102.839
